s,C,1/m,m,1/m,1/m,1/m
Time,T_fire,K_fire,V_fire,K_left,K_right,K_branch
 2.3737024E+001, 1.9999362E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4197937E+001, 1.9999361E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4428394E+001, 1.9999360E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4658850E+001, 1.9999359E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5119763E+001, 1.9999358E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5350220E+001, 1.9999357E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5580677E+001, 1.9999357E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5811133E+001, 1.9999357E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6272046E+001, 1.9999356E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6502503E+001, 1.9999356E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6732959E+001, 1.9999355E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7193872E+001, 1.9999355E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7424329E+001, 1.9999355E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7654785E+001, 1.9999355E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8115699E+001, 1.9999354E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8346155E+001, 1.9999354E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8576612E+001, 1.9999354E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8807068E+001, 1.9999354E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9267981E+001, 1.9999354E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9498438E+001, 1.9999354E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9728894E+001, 1.9999354E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0189807E+001, 1.9999355E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0420264E+001, 1.9999355E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0650721E+001, 1.9999355E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.1111634E+001, 1.9999355E+001, 0.0000000E+000, 3.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.1342090E+001, 1.9999357E+001, 2.4794628E-030, 3.0000000E+001, 0.0000000E+000, 2.4794628E-030, 0.0000000E+000
 3.1572547E+001, 1.9999359E+001, 1.6024854E-028, 3.0000000E+001, 0.0000000E+000, 1.6024854E-028, 0.0000000E+000
 3.1803003E+001, 1.9999361E+001, 2.4377177E-027, 3.0000000E+001, 0.0000000E+000, 2.4377177E-027, 0.0000000E+000
 3.2263916E+001, 1.9999379E+001, 8.1157516E-026, 3.0000000E+001, 0.0000000E+000, 8.1157516E-026, 0.0000000E+000
 3.2494373E+001, 1.9999397E+001, 7.4000451E-025, 3.0000000E+001, 0.0000000E+000, 7.4000451E-025, 0.0000000E+000
 3.2724829E+001, 1.9999438E+001, 3.2486798E-024, 3.0000000E+001, 0.0000000E+000, 3.2486798E-024, 0.0000000E+000
 3.3185743E+001, 1.9999500E+001, 2.2092565E-023, 3.0000000E+001, 0.0000000E+000, 2.2092565E-023, 0.0000000E+000
 3.3416199E+001, 1.9999682E+001, 9.0349072E-023, 3.0000000E+001, 0.0000000E+000, 9.0349072E-023, 0.0000000E+000
 3.3646656E+001, 1.9999843E+001, 2.5768272E-022, 3.0000000E+001, 0.0000000E+000, 2.5768272E-022, 0.0000000E+000
 3.4107569E+001, 2.0000176E+001, 1.3988630E-021, 3.0000000E+001, 0.0000000E+000, 1.3988630E-021, 0.0000000E+000
 3.4338025E+001, 2.0000689E+001, 6.5137999E-021, 3.0000000E+001, 0.0000000E+000, 6.5137999E-021, 0.0000000E+000
 3.4568482E+001, 2.0001032E+001, 1.7711648E-020, 3.0000000E+001, 0.0000000E+000, 1.7711648E-020, 0.0000000E+000
 3.5029395E+001, 2.0001778E+001, 9.7195179E-020, 3.0000000E+001, 0.0000000E+000, 9.7195179E-020, 0.0000000E+000
 3.5259851E+001, 2.0002525E+001, 4.4575937E-019, 3.0000000E+001, 0.0000000E+000, 4.4575937E-019, 0.0000000E+000
 3.5490308E+001, 2.0003171E+001, 1.2018795E-018, 3.0000000E+001, 0.0000000E+000, 1.2018795E-018, 0.0000000E+000
 3.5720765E+001, 2.0003820E+001, 2.7555503E-018, 3.0000000E+001, 0.0000000E+000, 2.7555503E-018, 7.9891293E-113
 3.6181678E+001, 2.0004927E+001, 4.8260809E-018, 3.0000000E+001, 0.0000000E+000, 4.8260809E-018, 6.6263949E-109
