s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CABLE_FUEL,MLR_PRODUCTS,MLR_HYDROGEN CYANIDE
 4.5614357E+001, 4.1005279E+001, 0.0000000E+000,-1.2442082E+001,-8.6713026E-001,-1.3611427E+000, 5.9459945E-003, 0.0000000E+000, 0.0000000E+000, 2.6312561E+001, 2.6340871E+001, 0.0000000E+000, 2.5235772E-003, 0.0000000E+000, 0.0000000E+000
 4.5994526E+001, 4.1709966E+001, 0.0000000E+000,-1.3024092E+001,-1.6532052E+000,-1.4093647E+000, 6.0544186E-003, 0.0000000E+000, 0.0000000E+000, 2.5646415E+001, 2.5629359E+001, 0.0000000E+000, 2.5772358E-003, 0.0000000E+000, 0.0000000E+000
 4.6203617E+001, 4.1792423E+001, 0.0000000E+000,-1.3225627E+001,-2.2403937E+000,-1.4472828E+000, 6.1938814E-003, 0.0000000E+000, 0.0000000E+000, 2.5052927E+001, 2.4885314E+001, 0.0000000E+000, 2.6243902E-003, 0.0000000E+000, 0.0000000E+000
 4.6584560E+001, 4.3595300E+001, 0.0000000E+000,-1.3458362E+001,-2.4879996E+000,-1.4974668E+000, 6.3177205E-003, 0.0000000E+000, 0.0000000E+000, 2.5733541E+001, 2.6157790E+001, 0.0000000E+000, 2.6741079E-003, 0.0000000E+000, 0.0000000E+000
 4.6860954E+001, 4.4294566E+001, 0.0000000E+000,-1.3668559E+001,-2.6411592E+000,-1.5710762E+000, 6.4482769E-003, 0.0000000E+000, 0.0000000E+000, 2.6286739E+001, 2.6420220E+001, 0.0000000E+000, 2.7273713E-003, 0.0000000E+000, 0.0000000E+000
 4.7137352E+001, 4.4905300E+001, 0.0000000E+000,-1.3687029E+001,-2.7192782E+000,-1.6304686E+000, 6.5612488E-003, 0.0000000E+000, 0.0000000E+000, 2.6714639E+001, 2.6875085E+001, 0.0000000E+000, 2.7707317E-003, 0.0000000E+000, 0.0000000E+000
 4.7441387E+001, 4.5067973E+001, 0.0000000E+000,-1.3736138E+001,-2.7572611E+000,-1.6945330E+000, 6.6832078E-003, 0.0000000E+000, 0.0000000E+000, 2.6760375E+001, 2.6886724E+001, 0.0000000E+000, 2.8205962E-003, 0.0000000E+000, 0.0000000E+000
 4.7745426E+001, 4.6307891E+001, 0.0000000E+000,-1.3909766E+001,-2.6835108E+000,-1.7666695E+000, 6.7923497E-003, 0.0000000E+000, 0.0000000E+000, 2.7601229E+001, 2.7954737E+001, 0.0000000E+000, 2.8704607E-003, 0.0000000E+000, 0.0000000E+000
 4.8049461E+001, 4.7222359E+001, 0.0000000E+000,-1.3729228E+001,-2.5185273E+000,-1.8394682E+000, 6.8951412E-003, 0.0000000E+000, 0.0000000E+000, 2.8738748E+001, 2.9142030E+001, 0.0000000E+000, 2.9181572E-003, 0.0000000E+000, 0.0000000E+000
 4.8353497E+001, 4.8052119E+001, 0.0000000E+000,-1.3802364E+001,-2.3594807E+000,-1.9228255E+000, 7.0086083E-003, 0.0000000E+000, 0.0000000E+000, 2.9760025E+001, 2.9974457E+001, 0.0000000E+000, 2.9680217E-003, 0.0000000E+000, 0.0000000E+000
 4.8634426E+001, 4.9452761E+001, 0.0000000E+000,-1.4218843E+001,-2.3207300E+000,-1.9890038E+000, 7.1023139E-003, 0.0000000E+000, 0.0000000E+000, 3.0641517E+001, 3.0931287E+001, 0.0000000E+000, 3.0150048E-003, 0.0000000E+000, 0.0000000E+000
 4.8903801E+001, 4.9932789E+001, 0.0000000E+000,-1.4568852E+001,-2.4836213E+000,-2.0436525E+000, 7.1872468E-003, 0.0000000E+000, 0.0000000E+000, 3.0937860E+001, 3.0843851E+001, 0.0000000E+000, 3.0590786E-003, 0.0000000E+000, 0.0000000E+000
 4.9262966E+001, 5.0498782E+001, 0.0000000E+000,-1.5020017E+001,-2.8119657E+000,-2.1011491E+000, 7.3501502E-003, 0.0000000E+000, 0.0000000E+000, 3.0482604E+001, 3.0573000E+001, 0.0000000E+000, 3.1105691E-003, 0.0000000E+000, 0.0000000E+000
 4.9532337E+001, 5.1266245E+001, 0.0000000E+000,-1.5445413E+001,-3.1773983E+000,-2.1571538E+000, 7.4742348E-003, 0.0000000E+000, 0.0000000E+000, 3.0500621E+001, 3.0493754E+001, 0.0000000E+000, 3.1609756E-003, 0.0000000E+000, 0.0000000E+000
 4.9801712E+001, 5.1970892E+001, 0.0000000E+000,-1.5958892E+001,-3.5093286E+000,-2.2111686E+000, 7.5804735E-003, 0.0000000E+000, 0.0000000E+000, 3.0241254E+001, 3.0299083E+001, 0.0000000E+000, 3.2065041E-003, 0.0000000E+000, 0.0000000E+000
 5.0160877E+001, 5.2803649E+001, 0.0000000E+000,-1.5998471E+001,-3.8456799E+000,-2.2812685E+000, 7.6747486E-003, 0.0000000E+000, 0.0000000E+000, 3.0535575E+001, 3.0685905E+001, 0.0000000E+000, 3.2569106E-003, 0.0000000E+000, 0.0000000E+000
 5.0430252E+001, 5.3640946E+001, 0.0000000E+000,-1.6372713E+001,-4.1495256E+000,-2.3640844E+000, 7.7484248E-003, 0.0000000E+000, 0.0000000E+000, 3.0750424E+001, 3.0762371E+001, 0.0000000E+000, 3.3084011E-003, 0.0000000E+000, 0.0000000E+000
 5.0789417E+001, 5.4470294E+001, 0.0000000E+000,-1.6852148E+001,-4.4168804E+000,-2.4352422E+000, 7.8424005E-003, 0.0000000E+000, 0.0000000E+000, 3.0658754E+001, 3.0773866E+001, 0.0000000E+000, 3.3577236E-003, 0.0000000E+000, 0.0000000E+000
 5.1058792E+001, 5.5300216E+001, 0.0000000E+000,-1.7058504E+001,-4.6444067E+000,-2.4836371E+000, 7.9367339E-003, 0.0000000E+000, 0.0000000E+000, 3.0911323E+001, 3.1121605E+001, 0.0000000E+000, 3.4081301E-003, 0.0000000E+000, 0.0000000E+000
 5.1328167E+001, 5.6018328E+001, 0.0000000E+000,-1.7211712E+001,-4.8368271E+000,-2.5460265E+000, 8.0958974E-003, 0.0000000E+000, 0.0000000E+000, 3.1337805E+001, 3.1431859E+001, 0.0000000E+000, 3.4536585E-003, 0.0000000E+000, 0.0000000E+000
 5.1687332E+001, 5.6855588E+001, 0.0000000E+000,-1.7659935E+001,-5.1489531E+000,-2.6114498E+000, 8.2281525E-003, 0.0000000E+000, 0.0000000E+000, 3.1413470E+001, 3.1443478E+001, 0.0000000E+000, 3.5040650E-003, 0.0000000E+000, 0.0000000E+000
 5.1956703E+001, 5.7693998E+001, 0.0000000E+000,-1.7319453E+001,-5.6050863E+000,-2.6883945E+000, 8.3449578E-003, 0.0000000E+000, 0.0000000E+000, 3.1657795E+001, 3.2089409E+001, 0.0000000E+000, 3.5555556E-003, 0.0000000E+000, 0.0000000E+000
 5.2226078E+001, 5.8413197E+001, 0.0000000E+000,-1.7951483E+001,-6.2079437E+000,-2.7481752E+000, 8.4510034E-003, 0.0000000E+000, 0.0000000E+000, 3.1671721E+001, 3.1514045E+001, 0.0000000E+000, 3.5989160E-003, 0.0000000E+000, 0.0000000E+000
 5.2585243E+001, 5.9255152E+001, 0.0000000E+000,-1.8362371E+001,-7.1171766E+000,-2.8161221E+000, 8.5782076E-003, 0.0000000E+000, 0.0000000E+000, 3.0922347E+001, 3.0968060E+001, 0.0000000E+000, 3.6504065E-003, 0.0000000E+000, 0.0000000E+000
 5.2854618E+001, 6.0096529E+001, 0.0000000E+000,-1.8222097E+001,-8.0441347E+000,-2.8813138E+000, 8.6675498E-003, 0.0000000E+000, 0.0000000E+000, 3.0861997E+001, 3.0957651E+001, 0.0000000E+000, 3.7008130E-003, 0.0000000E+000, 0.0000000E+000
 5.3123993E+001, 6.0817611E+001, 0.0000000E+000,-1.8743503E+001,-8.6815116E+000,-2.9313149E+000, 8.7233837E-003, 0.0000000E+000, 0.0000000E+000, 3.0403790E+001, 3.0470005E+001, 0.0000000E+000, 3.7463415E-003, 0.0000000E+000, 0.0000000E+000
 5.3440578E+001, 6.2451500E+001, 0.0000000E+000,-1.8918493E+001,-9.1688429E+000,-2.9920387E+000, 8.8787674E-003, 0.0000000E+000, 0.0000000E+000, 3.1134480E+001, 3.1381005E+001, 0.0000000E+000, 3.7918699E-003, 0.0000000E+000, 0.0000000E+000
 5.3757164E+001, 6.2641374E+001, 0.0000000E+000,-1.9193773E+001,-9.6397691E+000,-3.0727246E+000, 9.0389989E-003, 0.0000000E+000, 0.0000000E+000, 3.0838692E+001, 3.0744146E+001, 0.0000000E+000, 3.8439024E-003, 0.0000000E+000, 0.0000000E+000
